Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_001806345.1	ASM180634v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-10-21	2.0	PRJNA339667	SAMN05601665
GCF_043047475.1	ASM4304747v1	Acinetobacter baumannii	GCF_043047475.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368125
GCF_033190095.1	ASM3319009v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	1.0	PRJNA1023193	SAMN37654778
GCF_041004195.1	W155	Acinetobacter baumannii	GCF_041004195.1-RS_2024_08_02	Complete Genome	2024-08-03	3.0	PRJNA1135755	SAMN42440400
GCF_023361955.1	ASM2336195v1	Acinetobacter baumannii	GCF_023361955.1-RS_2024_05_21	Complete Genome	2022-05-13	3.0	PRJNA789460	SAMN24114663
GCF_012272775.1	ASM1227277v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-11	2.0	PRJNA612123	SAMN14308853
GCF_024922185.1	ASM2492218v2	Acinetobacter baumannii	GCF_024922185.1-RS_2024_05_11	Complete Genome	2023-01-17	2.0	PRJNA812595	SAMN30655645
GCF_038983805.1	ASM3898380v1	Acinetobacter baumannii	GCF_038983805.1-RS_2024_05_02	Complete Genome	2024-05-03	3.0	PRJNA992789	SAMN36374863
GCF_042140325.1	Hv431	Acinetobacter baumannii	GCF_042140325.1-RS_2024_09_24	Complete Genome	2024-09-25	3.0	PRJNA1126181	SAMN41934868
GCF_023362035.1	ASM2336203v1	Acinetobacter baumannii	GCF_023362035.1-RS_2024_05_21	Complete Genome	2022-05-13	2.0	PRJNA789460	SAMN24114658
GCF_030585225.1	ASM3058522v1	Acinetobacter baumannii	GCF_030585225.1-RS_2024_08_10	Complete Genome	2023-08-02	3.0	PRJNA557486	SAMN12287008
GCF_038992355.1	ASM3899235v1	Acinetobacter baumannii	GCF_038992355.1-RS_2024_05_02	Complete Genome	2024-05-03	2.0	PRJNA992789	SAMN36374913
GCF_012934925.1	ASM1293492v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	2.0	PRJNA613578	SAMN14409628
GCF_037039675.1	ASM3703967v1	Acinetobacter baumannii	GCF_037039675.1-RS_2024_04_05	Complete Genome	2024-04-05	1.0	PRJNA1062977	SAMN39325193
GCF_021730415.1	ASM2173041v1	Acinetobacter baumannii	GCF_021730415.1-RS_2024_04_21	Complete Genome	2022-01-31	3.0	PRJNA769700	SAMN22170067
GCF_001077555.2	ASM107755v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-23	1.0	PRJNA286787	SAMN03770534
GCF_024139015.1	ASM2413901v1	Acinetobacter baumannii	GCF_024139015.1-RS_2024_07_14	Complete Genome	2022-07-05	5.0	PRJNA731249	SAMN19356540
GCF_003296225.1	ASM329622v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-09	4.0	PRJNA472712	SAMN09460321
GCF_033190015.1	ASM3319001v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	1.0	PRJNA1023193	SAMN37654780
GCF_029714105.1	ASM2971410v1	Acinetobacter baumannii	GCF_029714105.1-RS_2024_05_17	Complete Genome	2023-04-13	3.0	PRJNA819214	SAMN27010284
GCF_030585245.1	ASM3058524v1	Acinetobacter baumannii	GCF_030585245.1-RS_2024_08_10	Complete Genome	2023-08-02	3.0	PRJNA557486	SAMN12287006
GCF_014159355.1	ASM1415935v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-21	1.0	PRJDB6962	SAMD00194470
GCF_043042805.1	ASM4304280v1	Acinetobacter baumannii	GCF_043042805.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368132
GCF_024749445.1	ASM2474944v1	Acinetobacter baumannii	GCF_024749445.1-RS_2024_09_11	Complete Genome	2022-08-26	2.0	PRJNA779872	SAMN23078463
GCF_017098265.2	ASM1709826v2	Acinetobacter baumannii	GCF_017098265.2-RS_2024_06_06	Complete Genome	2021-11-16	2.0	PRJNA646312	SAMN15538696
GCF_028583465.1	ASM2858346v1	Acinetobacter baumannii	GCF_028583465.1-RS_2024_03_18	Complete Genome	2023-02-10	1.0	PRJNA900181	SAMN31681935
GCF_025402915.1	ASM2540291v1	Acinetobacter baumannii	GCF_025402915.1-RS_2024_04_03	Complete Genome	2022-09-26	2.0	PRJNA548006	SAMN11997569
GCF_040543095.1	ASM4054309v1	Acinetobacter baumannii	GCF_040543095.1-RS_2024_07_09	Complete Genome	2024-07-09	4.0	PRJNA1128891	SAMN42110409
GCF_042142205.1	HvAb04	Acinetobacter baumannii	GCF_042142205.1-RS_2024_09_24	Complete Genome	2024-09-25	4.0	PRJNA1126181	SAMN41936527
GCF_042140455.1	Hv455	Acinetobacter baumannii	GCF_042140455.1-RS_2024_09_24	Complete Genome	2024-09-25	3.0	PRJNA1126181	SAMN41934869
GCF_004136355.1	ASM413635v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-02-04	3.0	PRJNA484790	SAMN09769497
GCF_018831485.1	ASM1883148v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-10	2.0	PRJNA607827	SAMN14149265
GCF_036870965.1	ASM3687096v1	Acinetobacter baumannii	GCF_036870965.1-RS_2024_04_05	Complete Genome	2024-04-05	7.0	PRJNA1062982	SAMN39325909
GCF_042145845.1	Lv647	Acinetobacter baumannii	GCF_042145845.1-RS_2024_09_24	Complete Genome	2024-09-25	4.0	PRJNA1126181	SAMN41934864
GCF_043054075.1	ASM4305407v1	Acinetobacter baumannii	GCF_043054075.1-RS_2024_10_13	Complete Genome	2024-10-15	3.0	PRJNA1016089	SAMN37368113
GCF_043038945.1	ASM4303894v1	Acinetobacter baumannii	GCF_043038945.1-RS_2024_10_13	Complete Genome	2024-10-15	4.0	PRJNA1016089	SAMN37368138
GCF_034422815.1	ASM3442281v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-16	3.0	PRJNA779589	SAMN38635811
GCF_043052145.1	ASM4305214v1	Acinetobacter baumannii	GCF_043052145.1-RS_2024_10_13	Complete Genome	2024-10-15	3.0	PRJNA1016089	SAMN37368118
GCF_001457535.1	CIP70.10	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-06-23	2.0	PRJEB9585	SAMEA3449716
GCF_013394265.1	ASM1339426v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-08	2.0	PRJNA574573	SAMN12860376
GCF_024749685.1	ASM2474968v1	Acinetobacter baumannii	GCF_024749685.1-RS_2024_09_11	Complete Genome	2022-08-26	3.0	PRJNA779872	SAMN23078448
GCF_038441195.1	ASM3844119v1	Acinetobacter baumannii	GCF_038441195.1-RS_2024_04_25	Complete Genome	2024-04-25	4.0	PRJNA1000275	SAMN36766192
GCF_022468565.1	ASM2246856v1	Acinetobacter baumannii	GCF_022468565.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131660
GCF_019703285.1	ASM1970328v1	Acinetobacter baumannii	GCF_019703285.1-RS_2024_04_21	Complete Genome	2021-07-07	12.0	PRJDB11827	SAMD00330123
GCF_042140285.1	Hv373	Acinetobacter baumannii	GCF_042140285.1-RS_2024_09_24	Complete Genome	2024-09-25	4.0	PRJNA1126181	SAMN41934866
GCF_042141315.1	Hv781	Acinetobacter baumannii	GCF_042141315.1-RS_2024_09_24	Complete Genome	2024-09-25	3.0	PRJNA1126181	SAMN41934877
GCF_035753605.1	ASM3575360v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-17	1.0	PRJNA1063008	SAMN39326139
GCF_017096385.2	ASM1709638v2	Acinetobacter baumannii	GCF_017096385.2-RS_2024_05_21	Complete Genome	2021-11-16	4.0	PRJNA646312	SAMN15538701
GCF_042140575.1	Hv766	Acinetobacter baumannii	GCF_042140575.1-RS_2024_09_24	Complete Genome	2024-09-25	3.0	PRJNA1126181	SAMN41934874
GCF_041801535.1	ASM4180153v1	Acinetobacter baumannii	GCF_041801535.1-RS_2024_09_07	Complete Genome	2024-09-08	5.0	PRJNA1139950	SAMN42799853
GCF_001669145.2	ASM166914v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-22	4.0	PRJNA271775	SAMN05238672
GCF_033469325.1	ASM3346932v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-09	5.0	PRJNA1023193	SAMN37654779
GCF_003948535.2	ASM394853v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-30	2.0	PRJNA497581	SAMN10261584
GCF_002762155.1	ASM276215v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-08	1.0	PRJNA416164	SAMN07943354
GCF_022468295.1	ASM2246829v1	Acinetobacter baumannii	GCF_022468295.1-RS_2024_04_06	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131663
GCF_038441225.1	ASM3844122v1	Acinetobacter baumannii	GCF_038441225.1-RS_2024_04_25	Complete Genome	2024-04-25	2.0	PRJNA1000275	SAMN36766189
GCF_013416255.1	ASM1341625v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-15	3.0	PRJNA630392	SAMN14833494
GCF_023517175.1	ASM2351717v1	Acinetobacter baumannii	GCF_023517175.1-RS_2024_05_27	Complete Genome	2022-05-23	2.0	PRJNA738868	SAMN19762827
GCF_024139055.1	ASM2413905v1	Acinetobacter baumannii	GCF_024139055.1-RS_2024_07_14	Complete Genome	2022-07-05	3.0	PRJNA731249	SAMN19356533
GCF_014267385.1	ASM1426738v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-23	1.0	PRJNA657198	SAMN15819058
GCF_000830055.1	ASM83005v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-29	2.0	PRJNA269083	SAMN03248539
GCF_033181805.1	ASM3318180v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	3.0	PRJNA1027604	SAMN36429572
GCF_001573125.1	ASM157312v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-02-25	1.0	PRJNA290306	SAMN03890253
GCF_043040895.1	ASM4304089v1	Acinetobacter baumannii	GCF_043040895.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368135
GCF_022605145.1	ASM2260514v1	Acinetobacter baumannii	GCF_022605145.1-RS_2024_04_21	Complete Genome	2022-03-17	1.0	PRJNA798598	SAMN25087978
GCF_022468755.1	ASM2246875v1	Acinetobacter baumannii	GCF_022468755.1-RS_2024_04_21	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131658
GCF_017098185.2	ASM1709818v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-16	2.0	PRJNA646312	SAMN15538699
GCF_043043455.1	ASM4304345v1	Acinetobacter baumannii	GCF_043043455.1-RS_2024_10_13	Complete Genome	2024-10-15	2.0	PRJNA1016089	SAMN37368131
GCF_000814345.1	ASM81434v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-05	4.0	PRJNA270223	SAMN03263969
GCF_019356215.1	ASM1935621v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-27	4.0	PRJNA748365	SAMN20326334
GCF_022468985.2	ASM2246898v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-26	2.0	PRJNA798866	SAMN25131654
GCF_041154785.1	ASM4115478v1	Acinetobacter baumannii	GCF_041154785.1-RS_2024_08_10	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778455
GCF_029847455.2	ASM2984745v2	Acinetobacter baumannii	GCF_029847455.2-RS_2024_05_18	Complete Genome	2024-05-18	2.0	PRJNA565663	SAMN34163920
GCF_016864315.2	ASM1686431v2	Acinetobacter baumannii	GCF_016864315.2-RS_2024_04_21	Complete Genome	2022-02-16	2.0	PRJNA644570	SAMN15501056
GCF_007221455.1	ASM722145v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-06-20	1.0	PRJNA503905	SAMN12045486
GCF_038627275.1	ASM3862727v2	Acinetobacter baumannii	GCF_038627275.1-RS_2024_06_23	Complete Genome	2024-06-12	2.0	PRJNA812595	SAMN41094846
GCF_042151085.1	Rp772	Acinetobacter baumannii	GCF_042151085.1-RS_2024_09_24	Complete Genome	2024-09-25	7.0	PRJNA1126181	SAMN41934843
GCF_038990075.1	ASM3899007v1	Acinetobacter baumannii	GCF_038990075.1-RS_2024_05_02	Complete Genome	2024-05-03	5.0	PRJNA992789	SAMN36374885
GCF_042147245.1	Rp376	Acinetobacter baumannii	GCF_042147245.1-RS_2024_09_24	Complete Genome	2024-09-25	3.0	PRJNA1126181	SAMN41934837
GCF_020271605.1	ASM2027160v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-05	3.0	PRJNA750704	SAMN20477964
GCF_014322245.1	ASM1432224v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-27	4.0	PRJNA602169	SAMN13884837
GCF_035666135.1	ASM3566613v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-16	1.0	PRJNA1062048	SAMN39285741
GCF_020985285.1	ASM2098528v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-25	3.0	PRJNA781087	SAMN23235066
GCF_003591615.1	ASM359161v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-24	1.0	PRJNA400841	SAMN07580891
GCF_041154835.1	ASM4115483v1	Acinetobacter baumannii	GCF_041154835.1-RS_2024_08_10	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778472
GCF_038442125.1	ASM3844212v1	Acinetobacter baumannii	GCF_038442125.1-RS_2024_04_24	Complete Genome	2024-04-25	3.0	PRJNA1011532	SAMN37223188
GCF_012935125.1	ASM1293512v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-30	4.0	PRJNA613957	SAMN14422682
GCF_041154825.1	ASM4115482v1	Acinetobacter baumannii	GCF_041154825.1-RS_2024_08_10	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778471
GCF_026194635.2	ASM2619463v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-15	12.0	PRJNA799362	SAMN25159974
GCF_038441255.1	ASM3844125v1	Acinetobacter baumannii	GCF_038441255.1-RS_2024_04_25	Complete Genome	2024-04-25	3.0	PRJNA1000275	SAMN36766186
GCF_023221535.1	ASM2322153v1	Acinetobacter baumannii	GCF_023221535.1-RS_2024_05_14	Complete Genome	2022-05-03	1.0	PRJNA812061	SAMN27770840
GCF_033189955.1	ASM3318995v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	2.0	PRJNA1023193	SAMN37654782
GCF_018135585.1	ASM1813558v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-23	2.0	PRJNA716893	SAMN18498587
GCF_022811905.1	ASM2281190v1	Acinetobacter baumannii	GCF_022811905.1-RS_2024_04_17	Complete Genome	2022-04-04	2.0	PRJNA675757	SAMN16714580
GCF_000761175.1	ASM76117v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-10-01	1.0	PRJNA261783	SAMN03075316
GCF_022467535.1	ASM2246753v1	Acinetobacter baumannii	GCF_022467535.1-RS_2024_04_07	Complete Genome	2022-03-03	1.0	PRJNA798866	SAMN25131671
GCF_012931665.1	ASM1293166v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-29	3.0	PRJNA473419	SAMN14667517
GCF_025854255.1	ASM2585425v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-26	2.0	PRJNA812594	SAMN30898332
GCF_002082805.1	ASM208280v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	1.0	PRJNA380857	SAMN06650238
GCF_043041525.1	ASM4304152v1	Acinetobacter baumannii	GCF_043041525.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368134
GCF_042146535.1	Lv648	Acinetobacter baumannii	GCF_042146535.1-RS_2024_09_24	Complete Genome	2024-09-25	1.0	PRJNA1126181	SAMN41934865
GCF_002082685.1	ASM208268v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-10	2.0	PRJNA380857	SAMN06650243
GCF_004028375.1	ASM402837v1	Acinetobacter baumannii	GCF_004028375.1-RS_2024_04_07	Complete Genome	2019-01-17	6.0	PRJNA506023	SAMN10441121
GCF_024749405.1	ASM2474940v1	Acinetobacter baumannii	GCF_024749405.1-RS_2024_09_11	Complete Genome	2022-08-26	3.0	PRJNA779872	SAMN23078453
GCF_013376855.2	ASM1337685v2	Acinetobacter baumannii	GCF_013376855.2-RS_2024_06_17	Complete Genome	2020-07-17	2.0	PRJNA641163	SAMN15344688
GCF_042152325.1	Up280	Acinetobacter baumannii	GCF_042152325.1-RS_2024_09_24	Complete Genome	2024-09-25	1.0	PRJNA1126181	SAMN41934845
GCF_012974585.1	ASM1297458v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-05	2.0	PRJNA605582	SAMN14072279
GCF_034422775.1	ASM3442277v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-16	10.0	PRJNA779589	SAMN38635275
GCF_024749525.1	ASM2474952v1	Acinetobacter baumannii	GCF_024749525.1-RS_2024_09_11	Complete Genome	2022-08-26	5.0	PRJNA779872	SAMN23078459
GCF_043572315.1	T14	Acinetobacter baumannii	GCF_043572315.1-RS_2024_10_23	Complete Genome	2024-10-24	2.0	PRJNA1171738	SAMN44252301
GCF_029713765.1	ASM2971376v1	Acinetobacter baumannii	GCF_029713765.1-RS_2024_05_17	Complete Genome	2023-04-13	3.0	PRJNA819214	SAMN27010269
GCF_011067065.1	ASM1106706v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-07	3.0	PRJNA609015	SAMN14217790
GCF_019997865.1	ASM1999786v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-15	2.0	PRJNA732167	SAMN21028540
GCF_041154815.1	ASM4115481v1	Acinetobacter baumannii	GCF_041154815.1-RS_2024_08_10	Complete Genome	2024-08-10	1.0	PRJDB18098	SAMD00778461
GCF_024271825.1	ASM2427182v1	Acinetobacter baumannii	GCF_024271825.1-RS_2024_07_24	Complete Genome	2022-07-05	3.0	PRJNA731249	SAMN19356555
GCF_024749465.1	ASM2474946v1	Acinetobacter baumannii	GCF_024749465.1-RS_2024_09_11	Complete Genome	2022-08-26	3.0	PRJNA779872	SAMN23078460
GCF_001573065.1	ASM157306v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-02-25	1.0	PRJNA290306	SAMN03890258
GCF_042478285.1	ASM4247828v1	Acinetobacter baumannii	GCF_042478285.1-RS_2024_10_03	Complete Genome	2024-10-10	2.0	PRJNA1005798	SAMN36999747
GCF_008124045.1	ASM812404v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-29	1.0	PRJNA560883	SAMN12603273
GCF_017726575.1	ASM1772657v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-03	3.0	PRJNA716803	SAMN18452713
GCF_042140525.1	Hv652	Acinetobacter baumannii	GCF_042140525.1-RS_2024_09_24	Complete Genome	2024-09-25	3.0	PRJNA1126181	SAMN41934873
GCF_029582015.1	ASM2958201v1	Acinetobacter baumannii	GCF_029582015.1-RS_2024_04_06	Complete Genome	2023-04-04	1.0	PRJNA900181	SAMN31681934
GCF_022461025.2	ASM2246102v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-30	2.0	PRJNA798866	SAMN25131632
GCF_040930415.1	ASM4093041v1	Acinetobacter baumannii	GCF_040930415.1-RS_2024_07_28	Complete Genome	2024-07-29	3.0	PRJNA1136225	SAMN42510872
GCF_033191435.1	ASM3319143v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-01	1.0	PRJNA1023193	SAMN37643086
GCF_040822435.1	ASM4082243v1	Acinetobacter baumannii	GCF_040822435.1-RS_2024_07_24	Complete Genome	2024-07-24	1.0	PRJNA1136224	SAMN42510943
GCF_027239755.1	ASM2723975v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-22	4.0	PRJNA868510	SAMN30248452
GCF_001077965.2	ASM107796v2	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-31	2.0	PRJNA286871	SAMN03771402
GCF_036287255.1	ASM3628725v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-28	4.0	PRJNA1063010	SAMN39326197
GCF_001261895.2	R2090	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-23	1.0	PRJEB9721	SAMEA3751109
GCF_022369275.1	ASM2236927v1	Acinetobacter baumannii	GCF_022369275.1-RS_2024_03_30	Complete Genome	2022-02-23	3.0	PRJNA643930	SAMN15438232
GCF_043056915.1	ASM4305691v1	Acinetobacter baumannii	GCF_043056915.1-RS_2024_10_13	Complete Genome	2024-10-15	1.0	PRJNA1016089	SAMN37368114
GCF_024749645.1	ASM2474964v1	Acinetobacter baumannii	GCF_024749645.1-RS_2024_09_11	Complete Genome	2022-08-26	4.0	PRJNA779872	SAMN23078450
GCF_019903195.1	ASM1990319v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-08	1.0	PRJNA607827	SAMN15646562
GCF_041930545.1	ASM4193054v1	Acinetobacter baumannii	GCF_041930545.1-RS_2024_09_17	Complete Genome	2024-09-17	2.0	PRJNA1158574	SAMN43543506
GCF_032822615.1	ASM3282261v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-18	1.0	PRJNA949389	SAMN33787963
GCF_029909475.1	ASM2990947v1	Acinetobacter baumannii	GCF_029909475.1-RS_2024_04_30	Complete Genome	2023-05-01	6.0	PRJNA820789	SAMN34271990
GCF_040357515.1	ASM4035751v1	Acinetobacter baumannii	GCF_040357515.1-RS_2024_06_28	Complete Genome	2024-06-28	3.0	PRJNA983522	SAMN35727871
GCF_008931365.1	ASM893136v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-09	10.0	PRJNA550014	SAMN12289292
GCF_000746605.1	ASM74660v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-08-29	1.0	PRJNA256158	SAMN02940901
GCF_013787185.1	ASM1378718v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-28	5.0	PRJNA646375	SAMN15541804
GCF_007107525.1	ASM710752v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-18	4.0	PRJNA472828	SAMN12158047
GCF_022369355.1	ASM2236935v1	Acinetobacter baumannii	GCF_022369355.1-RS_2024_03_30	Complete Genome	2022-02-23	3.0	PRJNA647544	SAMN15589941
GCF_034081005.1	ASM3408100v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-04	4.0	PRJNA1043602	SAMN38345631
GCF_002902885.1	ASM290288v1	Acinetobacter baumannii	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-29	5.0	PRJNA430813	SAMN06040401
GCF_037939845.1	ASM3793984v1	Acinetobacter baumannii	GCF_037939845.1-RS_2024_04_05	Complete Genome	2024-04-05	3.0	PRJNA1090146	SAMN40558820
GCF_043451925.1	ASM4345192v1	Acinetobacter baumannii	GCF_043451925.1-RS_2024_10_20	Complete Genome	2024-10-20	3.0	PRJNA1016089	SAMN37368117
